,Origin,Destination,Average Flight Time
365,RSW,IAH,185.36206896551724
366,DFW,LAX,185.0
367,IAH,DTW,185.0
368,LGA,MSN,185.0
369,IAD,MIA,184.2
370,SAN,IAH,184.1153846153846
371,ORD,LGA,184.0568181818182
372,EWR,ICT,184.0
373,MIA,IAH,183.8108108108108
374,TUS,IAH,183.68571428571428
375,CLE,FLL,183.6086956521739
376,EWR,ATL,183.35064935064935
377,TPA,ORD,183.02898550724638
378,DEN,CMH,182.0
379,EWR,MIA,181.96923076923076
380,EWR,SJU,181.32258064516128
381,DEN,SEA,181.11111111111111
382,EWR,TPA,180.75454545454545
383,DEN,SJC,180.74074074074073
384,ELP,IAH,180.0
385,ABQ,IAH,179.8125
386,DEN,DTW,178.92105263157896
387,SFO,EUG,178.9
388,ORD,FLL,178.75641025641025
389,IAH,STL,178.16666666666666
390,IAH,PBI,178.11764705882354
391,ORD,MSY,177.859649122807
392,IAH,BWI,177.21428571428572
393,CID,DEN,176.96666666666667
394,ATL,IAH,176.22222222222223
395,IAD,FLL,175.95348837209303
396,IAD,SJC,175.5
397,FLL,EWR,175.35119047619048
398,FLL,IAH,174.92
399,ORD,RIC,174.76923076923077
400,EWR,CHS,174.3913043478261
401,DFW,ORD,174.20731707317074
402,MSN,DEN,174.2
403,LAX,ATL,174.0
404,MIA,CRP,173.0
405,ORD,RSW,172.74117647058824
406,DEN,IAD,172.56896551724137
407,DEN,MSY,171.92857142857142
408,MIA,EWR,171.58461538461538
409,IAH,MSP,171.30769230769232
410,DEN,PDX,171.15384615384616
411,DEN,CLE,170.58823529411765
412,BTV,ORD,169.66666666666666
413,MCI,IAH,169.2
414,DEN,GRR,169.11111111111111
415,EWR,MCI,169.0
416,LAS,IAH,168.82269503546098
417,SJC,DEN,168.66
418,DEN,SAT,168.40740740740742
419,FLL,CLE,167.52173913043478
420,CLE,RSW,167.0
421,DEN,SMF,166.78787878787878
422,TPA,EWR,166.76415094339623
423,ORD,DCA,166.50632911392404
424,STL,IAH,165.5
425,SYR,ORD,164.61111111111111
426,SEA,DEN,164.20289855072463
427,SFO,MSP,164.0
428,ORD,TPA,163.68115942028984
429,DEN,BNA,162.66666666666666
430,PHX,IAH,162.49
431,MCO,ORD,162.42105263157896
432,DEN,PSP,161.94
433,IAH,MAF,161.25
